sku_id,avg_weekly_demand,std_weekly_demand,avg_lead_time,std_lead_time,safety_stock,reorder_point,SKU_segment,segment_multiplier,adjusted_safety_stock,adjusted_reorder_point
SKU0001,30.73756906077348,6.840499621474639,10.0,0.0,37.87006928127789,345.2457598890127,AX,1.2,45.44408313753347,352.81977374526826
SKU0002,31.84254143646409,8.14039291725582,6.0,0.0,34.90834579752161,225.96359441630614,BX,1.0,34.90834579752161,225.96359441630614
SKU0003,25.69889502762431,7.416792274286762,5.0,0.0,29.03416859107038,157.5286437291919,CX,0.8,23.227334872856304,151.72181001097783
SKU0004,28.80110497237569,7.2114251376039435,5.0,0.0,28.23022750050131,172.23575236237977,BX,1.0,28.23022750050131,172.23575236237977
SKU0005,34.751381215469614,7.132234250217711,5.0,0.0,27.920222650666215,201.67712872801428,AX,1.2,33.50426718079946,207.26117325814755
SKU0006,28.013812154696133,6.361878095849105,7.0,0.0,29.467455712789697,225.56414079566264,AX,1.2,35.360946855347635,231.45763193822057
SKU0007,33.28176795580111,6.623901083480555,10.0,0.0,36.670946104030904,369.488625662042,AX,1.2,44.005135324837084,376.8228148828482
SKU0008,26.701657458563535,6.745836718650617,5.0,0.0,26.40761037034301,159.91589766316068,CX,0.8,21.12608829627441,154.6343755890921
SKU0009,24.168508287292816,7.060231763963059,5.0,0.0,27.638357897335933,148.4808993338,CX,0.8,22.110686317868748,142.95322775433283
SKU0010,30.58011049723757,5.8702916054880045,3.0,0.0,17.800351530694407,109.54068302240711,AX,1.2,21.360421836833286,113.10075332854599
SKU0011,23.34806629834254,6.247025585061447,10.0,0.0,34.58450475832244,268.06516774174787,CX,0.8,27.66760380665795,261.14826679008337
SKU0012,24.834254143646408,5.988459642357176,13.0,0.0,37.80028547122991,360.6455893386332,AX,1.2,45.3603425654759,368.2056464328792
SKU0013,37.35635359116022,6.310311305485166,7.0,0.0,29.228604529474577,290.72307966759615,AX,1.2,35.07432543536949,296.56880057349105
SKU0014,27.248618784530386,5.7917756929103295,13.0,0.0,36.558779327627796,390.79082352652284,AX,1.2,43.87053519315335,398.10257939204837
SKU0015,26.864640883977902,6.753754963230856,6.0,0.0,28.962043489132665,190.1498887930001,AX,1.2,34.7544521869592,195.9422974908266
SKU0016,29.34806629834254,7.663660995343418,5.0,0.0,30.00057398601049,176.7409054777232,CX,0.8,24.000459188808392,170.74079068052112
SKU0017,27.383977900552487,5.732646237640768,13.0,0.0,36.185543066146046,392.1772557733284,BX,1.0,36.185543066146046,392.1772557733284
