sku_id,SKU_segment,Naive_MAPE,Reg_MAPE,Naive_RMSE,Reg_RMSE
SKU0001,AX,0.2853092087400126,0.3447672987843883,53.19518091638821,60.59236420674238
SKU0002,BX,0.34805191439919303,0.4080410554563397,58.01645534595414,64.42760606653032
SKU0003,CX,0.3456792135092204,0.42680029929465524,48.39891058127802,57.58494255499825
SKU0004,BX,0.30655388638356557,0.3471658218896062,50.65659788310807,54.10942444698851
SKU0005,AX,0.27618609518564646,0.34315403918348164,57.159267124253944,65.41785408438035
SKU0006,AX,0.2932389296524764,0.33778310549379115,48.7703337547064,52.81428175458585
SKU0007,AX,0.31649926618535124,0.36816409450790705,57.02471553474144,62.87979326056887
SKU0008,CX,0.30079393037632995,0.37635700952048046,47.65310254136851,54.84871373588883
SKU0009,CX,0.21935329872668427,0.28402724536510454,36.34931536181565,43.007148871168866
SKU0010,AX,0.3006704878223714,0.3173362886657997,52.638561737743004,53.493825566819
